TAXON 1,INTERACTION TYPE,BODY PART,TAXON 2,INTERACTION TITLE,REPORTED FOR BOGOTÁ,REMARKS,SOURCE TYPE 1,REFERENCE 1,SOURCE TYPE 2,REFERENCE 2,SOURCE TYPE 3,REFERENCE 3,SOURCE TYPE 4,REFERENCE 4,SOURCE TYPE 5,REFERENCE 5,SOURCE TYPE 6,REFERENCE 6
Glomeromycetes sp.,Es simbionte con,la raíz,Ficus americana subsp. andicola,MUTUALISMO,SI,Asociación micorrícica. La planta se reporta como Ficus soatensis en la fuente,Artículo Científico,"Ramos-Montaño, C., Posada-Almanza, R.H., Ronderos-Figueroa, M.A., Penagos-Cañón, G.A. (2009) Relación entre asociación micorrícica con el estado fitosanitario en el el arbolado urbano de Bogotá D.C. Acta Biológica Colombiana 15, 245-258.",,,,,,,,,,
Polypodiopsida sp.,Crece sobre,el tallo,Fraxinus uhdei,EPIFITISMO/EPIZOISMO,SI,,Multimedia,"Rivera, Y. (2017) Determinado por Rivera, Y. & Rodríguez, A.",,,,,,,,,,
Blattodea sp.,Consume,el fruto,Passiflora bogotensis,HERBIVORÍA PARCIAL,SI,,Colección Biológica,"Fajardo-Gutierrez, F. 3889 JBB",,,,,,,,,,
Coleoptera sp.,Consume,el néctar,Arcytophyllum nitidum,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2117 JBB",,,,,,,,,,
Diptera sp.,Consume,el polen,Eryngium humboldtii,VISITA FLORAL,SI,,Multimedia,"Rodríguez, A. (2018) Determinado por Rodríguez, A.",,,,,,,,,,
Diptera sp.,Consume,el polen,Varronia cylindrostachya,VISITA FLORAL,SI,,Multimedia,"García, V. (2018) Determinado por Rodriguez, A.",,,,,,,,,,
Diptera sp.,Consume,el polen,Polygonum capitatum,VISITA FLORAL,SI,,Multimedia,"Rodríguez, A. (2018) Determinado por Rodríguez, A.",,,,,,,,,,
Diptera sp.,Interactúa con,la flor,Cucurbita ficifolia,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2503 JBB",,,,,,,,,,
Diptera sp.,Interactúa con,la flor,Cucurbita pepo,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2495 JBB",,,,,,,,,,
Diptera sp.,Consume,la flor,Ligustrum lucidum,HERBIVORÍA PARCIAL,SI,,Colección Biológica,"Rodríguez, A. 1883 JBB",,,,,,,,,,
Hemiptera sp.,Consume a,la hoja,Croton bogotanus,HERBIVORÍA PARCIAL,SI,,Colección Biológica,"Muñoz, J.M. 942 JBB",,,,,,,,,,
Hymenoptera sp.,Consume,el polen,Coriandrum sativum,VISITA FLORAL,SI,"El visitante floral se reporta en la fuente como ""abeja"" (superfamilia Apoidea, serie Anthophila)",Colección Biológica,"Rodríguez, A. 2500 JBB",,,,,,,,,,
Lepidoptera sp.,Anida en,general,Smallanthus pyramidalis,ANIDAMIENTO,SI,,Colección Biológica,"Muñoz, J.M. 1498 JBB",,,,,,,,,,
Lepidoptera sp.,Consume,la hoja,Pernettya prostrata,HERBIVORÍA PARCIAL,SI,Interacción exclusivamente reportada para las larvas,Colección Biológica,"Rodríguez, A. 2077 JBB",,,,,,,,,,
Lepidoptera sp.,Interactúa con,el tallo,Croton bogotanus,OTRAS INTERACCIONES,SI,Realiza la pupa sobre el tronco,Multimedia,"García, V. (2018) Determinado por Castro, S.",,,,,,,,,,
Thysanoptera sp.,Interactúa con,la flor,Streptosolen jamesonii,VISITA FLORAL,SI,"Permanece en el interior de la flor, no se alcanza a observar si está recolectando un recurso de la flor o si es refugio para el insecto",Multimedia,"García, V. (2018) Determinado por Rodriguez, A.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora adulterina,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora alata,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora arborea,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora bogotensis,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora cuspidifolia,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora ligularis,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora loefgrenii,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora semiciliosa,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Phytoseiidae sp.,Consume,general,Passiflora tripartita,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccinellidae sp.,Interactúa con,la flor,Conium maculatum ,VISITA FLORAL,SI,,Colección Biológica,"Muñoz, J.A. 1017 JBB",,,,,,,,,,
Curculionidae sp.,Anida en,la flor,Bejaria resinosa,ANIDAMIENTO,SI,"Este insecto penetra por la boca de la flor o hace perforaciones en la base de la corola, cerca al nectario de la flor.",Literatura Gris,"Brand, M. (1992) Algunas interacciones entre el gremio de colibríes y las ericáceas Macleania rupestris y Befaria resinosa en el páramo ""El Granizo"", Cundinamarca Colombia. Tesis B.Sc. Universidad Nacional de Colombia, Bogotá D.C.",,,,,,,,,,
Curculionidae sp.,Anida en,la flor,Macleania rupestris,ANIDAMIENTO,SI,"Este insecto penetra por la boca de la flor o hace perforaciones en la base de la corola, cerca al nectario de la flor.",Literatura Gris,"Brand, M. (1992) Algunas interacciones entre el gremio de colibríes y las ericáceas Macleania rupestris y Befaria resinosa en el páramo ""El Granizo"", Cundinamarca Colombia. Tesis B.Sc. Universidad Nacional de Colombia, Bogotá D.C.",,,,,,,,,,
Elateridae sp.,Consume,la raíz,Dianthus sp.,HERBIVORÍA PARCIAL,SI,La interacción es específica para las larvas de Elateridae sp.,Literatura Gris,"Zenner de Polanía, I. (1971) Reconocimiento e identificación de plagas en ornamentales de valor económico en la Sabana de Bogotá y zonas aledañas. No. Doc. 957, CO-BAC, Santafé de Bogotá.",,,,,,,,,,
Elateridae sp.,Consume,la raíz,Calendula officinalis,HERBIVORÍA PARCIAL,SI,La interacción es específica para las larvas de Elateridae sp.,Literatura Gris,"Zenner de Polanía, I. (1971) Reconocimiento e identificación de plagas en ornamentales de valor económico en la Sabana de Bogotá y zonas aledañas. No. Doc. 957, CO-BAC, Santafé de Bogotá.",,,,,,,,,,
Elateridae sp.,Consume,la raíz,Pelargonium zonale ,HERBIVORÍA PARCIAL,SI,La interacción es específica para las larvas de Elateridae sp.,Literatura Gris,"Zenner de Polanía, I. (1971) Reconocimiento e identificación de plagas en ornamentales de valor económico en la Sabana de Bogotá y zonas aledañas. No. Doc. 957, CO-BAC, Santafé de Bogotá.",,,,,,,,,,
Elateridae sp.,Consume,la raíz,Antirrhinum majus ,HERBIVORÍA PARCIAL,SI,La interacción es específica para las larvas de Elateridae sp.,Literatura Gris,"Zenner de Polanía, I. (1971) Reconocimiento e identificación de plagas en ornamentales de valor económico en la Sabana de Bogotá y zonas aledañas. No. Doc. 957, CO-BAC, Santafé de Bogotá.",,,,,,,,,,
Notonectidae sp.,Consume,general,Culex quinquefasciatus,DEPREDACIÓN,SI,Las larvas de C. quinquefasciatus son consumidas,Literatura Gris,"Basallo-Espitia., P.J. (2017) Control Biológico De Larvas De Culex SP, Mediante El Uso De Náyades De Odonata En Condiciones De Laboratorio. Tésis de Grado. Universidad Distrital Francisco José de Caldas. Bogotá, Colombia.",,,,,,,,,,
Staphylinidae sp.,Consume,la flor,Espeletia grandiflora,VISITA FLORAL,SI,El escarabajo se reporta en la fuente como Aleocharinae n.g. n.sp.,Artículo Científico,"Sturm, H., Abouchaar, A. (1981) Observaciones sobre la ecología del páramo andino de Monserrate. Caldasia 13, 223-256.",,,,,,,,,,
Calliphoridae,Consume,el néctar,Oreopanax incisus,VISITA FLORAL,SI,,Multimedia,"Montoya, A.M. (2018) Determinado por Montoya, A.M. & Rodriguez, A.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Veronica sp.,VISITA FLORAL,SI,En la fuente se reporta la planta como Veronica 'Beverley Hills',Colección Biológica,"Rodríguez, A. 2599 JBB",,,,,,,,,,
Syrphidae sp.,Interactúa con,la flor,Baccharis latifolia,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2520 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Erigeron karvinskianus ,VISITA FLORAL,SI,,Multimedia,"Rodríguez, A. (2018) Determinado por Rodríguez, A.",,,,,,,,,,
Syrphidae sp.,Interactúa con,la flor,Osteospermum fruticosum,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2629 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Senecio madagascariensis,VISITA FLORAL,SI,,Multimedia,"García, V. (2018) Determinado por Muñoz, J.A.",Multimedia,"García, V. (2018) Determinado por Muñoz, J.A.",,,,,,,,
Syrphidae sp.,Interactúa con,la flor,Smallanthus pyramidalis,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2607 JBB",,,,,,,,,,
Syrphidae sp.,Interactúa con,la flor,Varronia cylindrostachya,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2606 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Raphanus raphanistrum,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2521 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Limonium sinuatum,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2600 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Polygonum capitatum,VISITA FLORAL,SI,,Multimedia,"Escobar, J.M. (2018) Determinado por Escobar, J.M.",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Salvia hispanica,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2630 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Ligustrum ovalifolium,VISITA FLORAL,SI,Se reporta en la fuente como Ligustrum cf. ovalifolium,Multimedia,"Rodríguez, A. (2018) Determinado por Rodríguez, A.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Hebe elliptica,VISITA FLORAL,SI,En la fuente se reporta como Hebe cf. elliptica,Colección Biológica,"Rodríguez, A. 1881 JBB",,,,,,,,,,
Syrphidae sp.,Consume,parte no especificada,Lantana camara,HERBIVORÍA PARCIAL,SI,,Literatura Gris,"Díaz, R. (2013) Diseño experimental para la caracterización de aves e insectos asociados a plantas florales estudio de caso: terraza productiva y de investigación en techos verdes: ubicada en la pontificia universidad javeriana – Bogotá Colombia. Trabajo de grado. Pontificia Universidad Javeriana, Bogotá.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora adulterina,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora alata,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora arborea,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora cuspidifolia,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora ligularis,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora loefgrenii,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora semiciliosa,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Passiflora tripartita,VISITA FLORAL,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Syrphidae sp.,Consume,parte no especificada,Callianthe picta,HERBIVORÍA PARCIAL,SI,,Literatura Gris,"Díaz, R. (2013) Diseño experimental para la caracterización de aves e insectos asociados a plantas florales estudio de caso: terraza productiva y de investigación en techos verdes: ubicada en la pontificia universidad javeriana – Bogotá Colombia. Trabajo de grado. Pontificia Universidad Javeriana, Bogotá.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Cuphea hyssopifolia,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2617, 2618 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el polen,Centradenia grandifolia,VISITA FLORAL,SI,,Multimedia,"García, V. (2018) Determinado por Rodriguez, A.",,,,,,,,,,
Syrphidae sp.,Interactúa con,la flor,Rubus robustus,VISITA FLORAL,SI,,Colección Biológica,"Rodríguez, A. 2604 JBB",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Spiraea cantoniensis,VISITA FLORAL,SI,,Multimedia,"Montoya, A.M. (2018) Determinado por Rodríguez, A. & Montoya, A.M.",,,,,,,,,,
Syrphidae sp.,Consume,el néctar,Ruta graveolens,VISITA FLORAL,SI,,Multimedia,"Rodríguez, A. (2018) Determinado por Rodríguez, A.",,,,,,,,,,
Syrphidae sp.,Consume,parte no especificada,Streptosolen jamesonii,HERBIVORÍA PARCIAL,SI,,Literatura Gris,"Díaz, R. (2013) Diseño experimental para la caracterización de aves e insectos asociados a plantas florales estudio de caso: terraza productiva y de investigación en techos verdes: ubicada en la pontificia universidad javeriana – Bogotá Colombia. Trabajo de grado. Pontificia Universidad Javeriana, Bogotá.",,,,,,,,,,
Tachinidae sp.,Consume,el polen,Cotoneaster pannosus,VISITA FLORAL,SI,,Multimedia,"Montoya, A.M. (2018) Determinado por Montoya, A.M. & Rodriguez, A.",,,,,,,,,,
Aleyrodidae sp.,Consume,la savia,Tecoma stans,HERBIVORÍA PARCIAL,SI,Succionan la savia de las hojas,Artículo Científico,"Muñoz, J.A. (2018) Determinado por García, V. & Fajardo, F.",,,,,,,,,,
Aphididae sp.,Consume,la savia,Schefflera sp.,HERBIVORÍA PARCIAL,SI,,Multimedia,"Montoya, A.M. (2018) Determinado por Rodríguez, A. & Montoya, A.M.",,,,,,,,,,
Aphididae sp.,Consume,la flor,Espeletia grandiflora,VISITA FLORAL,SI,,Artículo Científico,"Sturm, H., Abouchaar, A. (1981) Observaciones sobre la ecología del páramo andino de Monserrate. Caldasia 13, 223-256.",,,,,,,,,,
Aphididae sp.,Consume,la savia,Tecoma stans,HERBIVORÍA PARCIAL,SI,Succionan la savia de rebrotes,Artículo Científico,"Muñoz, J.A. (2018) Determinado por García, V. & Muñoz, J.",,,,,,,,,,
Aphididae sp.,Consume a,la savia,Fumaria capreolata,HERBIVORÍA PARCIAL,SI,,Colección Biológica,"Muñoz, J.M. 935 JBB",,,,,,,,,,
Cicadellidae sp.,Consume,la savia,Croton sp.,HERBIVORÍA PARCIAL,SI,,Multimedia,"Montoya, A.M. (2018) Determinado por Rodríguez, A., & Montoya, A.",,,,,,,,,,
Cicadellidae sp.,Consume,la savia,Tecoma stans,HERBIVORÍA PARCIAL,SI,,Artículo Científico,"Pinzón, O., Quintero, P. (2001) Caracterización biológica, hábitos, enemigos naturales y fluctuación poblacional de Aconophora elongatiformis Dietrich en Tecoma stans (L.) Juss. Ex HbK. Colombia Forestal 7, 33-54.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora adulterina,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora alata,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora arborea,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora bogotensis,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora cuspidifolia,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora ligularis,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora loefgrenii,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora semiciliosa,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Cicadellidae sp.,Consume,general,Passiflora tripartita,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccidae sp.,Consume,general,Passiflora adulterina,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccidae sp.,Consume,general,Passiflora alata,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccidae sp.,Consume,general,Passiflora arborea,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccidae sp.,Consume,general,Passiflora bogotensis,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
Coccidae sp.,Consume,general,Passiflora cuspidifolia,DEPREDACIÓN,SI,,Literatura Gris,"Diaz, A. (2017) Entomofauna asociada a especies vegetales de la familia Passifloraceae en la colección viva del Jardín Botánico de Bogotá. B.Sc. Tesis. Universidad Nacional abierta y a distancia. Escuela de Ciencias Agrícolas pecuarias y del Medio Ambiente.",,,,,,,,,,
